comment_text,emotion,fan_type_discovered,cluster
"Litterally Nobody :     

Me for the next 2 months: Look at you Now look at me",neutral,visual-focused,1
"""Look at you now look at me"" BP showing us our reality  potato heads RISE UP",neutral,visual-focused,1
"They look so different, then they're princesses, now they're queens",neutral,content-focused,3
"2019 : KILL ME
2020 : How to make me die
2021 : Funeral",neutral,content-focused,3
"BLINKS HEADLINES!!!!
BLACKPINK WILL SOON HAVE A COMEBACK IN 2025!!!!
LETS SHAKE THE KPOP INDUSTRY ONCE AGAIN AND SUPPORT OUR GIRLS!!!",neutral,content-focused,3
"For the next 2 hours all the comments are gonna be: ""I'm early""",neutral,content-focused,3
Fabulous powerful legendry song it's my favorite song 😊😊😊💪,neutral,content-focused,3
2025년 사람 있나요?,neutral,content-focused,3
"Y'all Why does everyone have to comment like
""no one""
""Literally no one""
: /",neutral,content-focused,2
"When you’re seriously not bothered to comment in the live chat cuz no ones actually gonna read it:




U type it in the proper chat so u can get noticed",neutral,content-focused,3
Finally black pink is back to gather yay 🖤💖,neutral,content-focused,3
"No one:
Literally no one:
Everyone: gets hundreds of likes in seconds.

HOW YOU LIKE THAT",neutral,content-focused,2
"this is fokken aaawesome, but did ya listen to STAS CHEKIROV - PAGER ???",neutral,content-focused,3
"Me finding a comment that talks about their song

Reality : no one , no one literally noone no no no one.......",neutral,content-focused,2
"Ah the memories
My very first kpop song
First kpop group i ever stanned
I love them for helping me discover what i like and i will never get bored of",neutral,content-focused,3
"No one:

Literally no one:

Me: why the views are not increasing???",neutral,content-focused,2
Edited so y'all don't know what I said. Keep streaming!!,neutral,content-focused,3
Me after my mom drops something and I call her a mistake: *how you like that*,neutral,song-reference-focused,0
이 뮤직비디오랑 노래 너무 좋아요 ❤️ 🖤💗,neutral,content-focused,3
"No one;

Literally no one;


Comment section; ""Literally no one;""",neutral,content-focused,2
"No one:
'Likes'  to 'v!3ws': LOOK AT YOU NOW LOOK AT ME
v!3ws: TT
Dislikes:HOW YOU LIKE THAT",neutral,visual-focused,1
"The language of the song: 1️⃣/2️⃣

The language of the comments: 1️⃣9️⃣9️⃣9️⃣9️⃣9️⃣9️⃣


HOLY SKKSKJ ALMOST 200 LIKES IN 1 MINUTE I-",neutral,content-focused,3
BLACKPINK IN YOUR AREA❤❤❤❤❤❤,neutral,content-focused,3
"No one:
Literally no one:

ppl having 500 likes in just seconds.",neutral,content-focused,2
HOLY MOLY WE ARE SO CLOSE TO 80M,neutral,content-focused,3
"Me at 4:AM probably waking up my entire  family: ""lOoK aT yOu, nOw lOoK aT mE.""",neutral,visual-focused,1
블랙핑크 너무 사랑해요~♡♡♡ 이 노래 저처럼 좋아하신 분은 이 이모지 꼭 눌러주세요 👐,neutral,content-focused,3
"""Look at me now look at you""
Me looking at my self  - bends the knees to the queens in a sec

PS: thank you for the likes. When you have time go check out my music video reviews. of Blackpink, txt, dreamcatcher, twice and so on 🙏",neutral,visual-focused,1
The person that's reading this I know you're not ok,neutral,content-focused,3
"*ATENCION: Hagan Stream A HYLT, Porque Blackpink Esta Punto De Perder El Primer Lugar En Ser El Único Grupo Kpop En Tener 4 Videos Oficiales En Tener 1 Billón De Reproducciones Pasen La Voz, Difundan El Mensaje*",neutral,content-focused,3
"Youtube: 5minutes ago 2 views
Comments: 60K
Me: O_O YouTube’s drunk again...",neutral,content-focused,3
WHY IS THERE THE SAME COMMENT EVERYWHERE IM CONFUSED HELP,neutral,content-focused,3
"Ok this ""no one"" thing in the comments are getting annoying",neutral,content-focused,2
This song was and is still a whole vibe,neutral,content-focused,3
"No one:
Literally no one:


Me: wondering how people getting 1k likes in just a minute",neutral,content-focused,2
"No one:
YouTube: let’s freeze the v13ws",neutral,content-focused,2
"Them: ""how you like that?""
Blinks: *dead*",neutral,song-reference-focused,0
HOW YOU LIKE THAT WILL NEVER LOSE ITS SHINE !✨,neutral,song-reference-focused,0
"No one:
Literally no one:
YG: Green screen who? I only know how to spend millions for my artist's mv",neutral,content-focused,2
"Filipinos be like:
From “ha? Hakdog”
To “ha? How you like that”",neutral,song-reference-focused,0
Then when i sneeze :  ha how you like that.,neutral,song-reference-focused,0
"Here after watching jump mv. This was peak blackpink energy , i miss HYLT days 😢",nostalgic,content-focused,3
"No one:


The comments here:
""No one:
Literally no one:""",neutral,content-focused,2
ARKADAŞLAR STR2AM KASIN 200 MILYON YAPALIM LUTFEN,neutral,content-focused,3
"when did everyone agree to use ""no one:     literally no one:"" things in this comment section though??",neutral,content-focused,2
Blackpink in your area,neutral,content-focused,3
"Everyone: ""Still no antidote for Covid19""
Blink: WELL BLACK PINK NAILED IT. ***bye covid",neutral,content-focused,3
"Them: LOOOK AT YOU NOW LOOK AT ME
Me looking like a rotten potato watching this.",neutral,visual-focused,1
"how To pronoune ""How you Like that""

Them: ""how you like that""
Me: ""song Of the year ""

PERIODT.


Edit: DONT REPLY ON MY COMMENT IF U DON'T GET THE JOKE.🙂",neutral,song-reference-focused,0
What a beautiful song todoquever😍😍,neutral,content-focused,3
"blinks: where are the views
youtube: no comment.",neutral,content-focused,3
"no one:
literally no one:


everyone in the comments: getting 100 likes in less than a minute",neutral,content-focused,2
"Nobody:



Even my mom:



Me: look at me now look at you",neutral,visual-focused,1
I just think its funny how yall clearly dont know how youtube works. All these spam comments help them get views because of the algorithm,neutral,content-focused,3
"No one:
Literally no one:
Comments: 
No one:
Literally no one:",neutral,content-focused,2
"No one:

Literally no one:

YouTube: *Let's freeze views*",neutral,content-focused,2
Can't wait to see you in Paris 2 and 3 August 🥰,neutral,content-focused,3
why is everyone commenting same thing,neutral,content-focused,3
"Why is everyone commenting 
the same comment
I’m confused and getting dizzy",neutral,content-focused,3
"En chile son las 02:17 de la noche
Pero no me importa me voy a quedar hasta las 6 si es necesario",neutral,content-focused,3
can't wait for their new album,neutral,content-focused,3
"Nobody:

YouTube: ""Let's freeze the views!""

edit: nothing happened, still 457k views",neutral,content-focused,3
Mi mama: SUBELE EL VOLUMEN A ESA SONG!!!,neutral,content-focused,3
"No one:
Literally no one:
Me: everybody is getting 100s of like in a sec 0-0",neutral,content-focused,2
1.3 billion proud of u blinks lets take it to 2 billion sooon,neutral,content-focused,3
"No one:
Literally no one:
Me:*screaming so loud that my brother think im crazy*",neutral,content-focused,2
"no one:
youtube: aight, imma do what I do best **crashes**

edit: sankyu I didn't expect I'll get that much likes ㅋㅋㅋ",neutral,content-focused,3
"No one:
Literally no one:
Everyone in the comments: getting a hundred likes in a second",neutral,content-focused,2
Im so ready for their comeback omgggg 👏🏻,neutral,content-focused,3
"No one:
Literally no one:


Eveyone talking about how everyone is getting 100 likes every minute",neutral,content-focused,2
"No one:
Literally no one:
Everyone: get hundred of likes less than a minute",neutral,content-focused,2
Pubg mobileden gelenler artı1,neutral,content-focused,3
BLACKPINK IS THE BEST 🖤💗,neutral,content-focused,3
"No one 

Literally no one:

Me: people get so many likes in one second",neutral,content-focused,2
why this has 180likes?,neutral,content-focused,3
FINALLY THE QUEENS ARE BACK!!! QUEENS OF K-POP ARE HERE BLACKPINK IN YOUR AREA,neutral,content-focused,3
Who came here from Pubg mobile,neutral,content-focused,3
"Srsly can we just stop using 
No one : 
Literally no one:
It's annoying AF",neutral,content-focused,2
Lindas divas arrasaram voltaram com tudo parabéns divaaaas❤❤❤,neutral,content-focused,3
66million until 1.4b!!! Keep streaming Blinks,neutral,content-focused,3
"Pandemic Time when the song was released, the nostalgic feeling",neutral,content-focused,3
I can say they look the prettiest in HYLT era!!!,neutral,content-focused,3
"amo esta cancion,la sigo escuchando a pesar de los años, las mejores",neutral,content-focused,3
BLACKPINK WILL NEVER BE FORGOTTEN,neutral,content-focused,3
Can't believe it's already 5 yearsss omg my queens,neutral,content-focused,3
i miss this blackpink.,nostalgic,content-focused,3
Blackpink in your area😎,neutral,content-focused,3
blackpink love you forver🖤🖤🖤🖤🖤🖤💓💓💓💓💓💓,neutral,content-focused,3
so happy theyre back❤,neutral,content-focused,3
Feel in Love,neutral,content-focused,3
"Amava essa música, hoje estou ouvindo ela novamente e sinto a mesma energia que sentia!",neutral,content-focused,3
이 노래 블랙핑크 방탄소년단 정말 좋아했어요 ❤,neutral,content-focused,3
nostalgic hit,neutral,content-focused,3
Everyone's favourite blackpink song❤🥺,neutral,content-focused,3
Estás chicas son geniales,neutral,content-focused,3
Biggest fan ever,neutral,content-focused,3
My favorite song ❤❤❤ I am blackpink fan ❤❤❤,neutral,content-focused,3
국뽕에 미치게 만드는 슬기로운 영상....😊😊😊,neutral,content-focused,3
I love this music❤❤❤❤❤,neutral,content-focused,3
They slay so hard,neutral,content-focused,3
this is best song OMG,neutral,content-focused,3
My first k-pop song,neutral,content-focused,3
I love you BLACKPINK❤,neutral,content-focused,3
I'm here after Jump hehe,neutral,content-focused,3
"I love this song of  
                 (BLACKPINK)",neutral,content-focused,3
"STREAM ""JUMP"" PLEASEEEEEEEEEEEE",neutral,content-focused,3
Listening to bp old song waiting for new   comeback 😢,neutral,content-focused,3
bring me back to the first time I heard how you like that it does not feel the same hearing it now,neutral,song-reference-focused,0
BLACKPINK IN YOU AREA 🗣️🗣️🗣️,neutral,content-focused,3
Blackpink in your areaaaa!!!😂,neutral,content-focused,3
Lisa’s part is epic,neutral,content-focused,3
"Please don't hate them, love them they have crystal clear noble hearts ❤",touching,content-focused,3
how u like that ❤️‍🔥,neutral,song-reference-focused,0
BLACKPINKが大好きです。彼女たちは独特の輝きがあって、私のお気に入りのアイドルです❤️,neutral,content-focused,3
Here before Deadline world tour❤,neutral,content-focused,3
BLINKS stream JUMP on all the platforms 🔥🔥,neutral,content-focused,3
"Ellas devoraron, no dejaron ni la más minima migaja 🔥🔥",neutral,content-focused,3
The best music of blackpink,neutral,content-focused,3
I love blackpink ❤,neutral,content-focused,3
Miss this BLACKPINK ..,nostalgic,content-focused,3
5 years later and this is still the best kpop outro ;-;,neutral,content-focused,3
Who's here after jump?,neutral,content-focused,3
How You Like That comeback is the best,neutral,song-reference-focused,0
Who's after JUMP,neutral,content-focused,3
ME ENCANTOO❤❤❤,neutral,content-focused,3
Anyone after JUMP???,neutral,content-focused,3
BLACKPINK IS BACK,neutral,content-focused,3
"The ""JUMP"" song is best yeeeaaaaaaaaa😏😜I love you guys (BLACKPINK)❤❤❤❤",neutral,content-focused,3
Blinks let's stream all of our queens songs,neutral,content-focused,3
"5 years of this hit, and I haven't gotten over it (I probably never will 💔)",neutral,content-focused,3
"2025 and i still love it plus the heck the nostalgia be hitting hard today, this video literally got me into kpop now i really wanna become a idol!",nostalgic,content-focused,3
South Koreans taking the world by storm....❤🎉,neutral,content-focused,3
I ❤ Blackpink,neutral,content-focused,3
Las que si dan orgullo las que tienen el verdadero nombre de patronas del k-pop,neutral,content-focused,3
BLACKPINK IN OUR AREA AGAIN!🖤💗🎉JUMP💗,neutral,content-focused,3
Hylt era was really dope,neutral,content-focused,3
Blackpink in your area 🖤💗🖤💗🖤💗🖤💗,neutral,content-focused,3
i love it so much,neutral,content-focused,3
La canción del año😍,neutral,content-focused,3
Pasando por dónde crecí🥳,neutral,content-focused,3
Came here after watching  Jump MV ♥️,neutral,content-focused,3
you love music💖💖💖💖💖,neutral,content-focused,3
100 MILHÕES ❤,neutral,content-focused,3
"1,5 Billion  let's go ❤❤❤",neutral,content-focused,3
blackpink best forever🥀,neutral,content-focused,3
Me encanta demasiado el inicio es épico,neutral,content-focused,3
Me encanta este vídeo y la canción también todo es perfecto,neutral,content-focused,3
My first kpop song 🖤🖤🖤💖💖💖💖🔥🔥🔥,neutral,content-focused,3
VAMOS POR LOS 20 MILLONES BLINKSSSSS SI DE PUEDE 🎉🎉🎉🎉🎉,neutral,content-focused,3
"¡Me encanta este video! Las imágenes son increíbles, la música es espectacular, sin duda amo a este grupo.",neutral,content-focused,3
Love the dance scene and the costume changes nice voices 7.1.2025,neutral,content-focused,3
❤❤ wow ❤❤❤❤❤❤❤ i❤u so much BLACKPINK,neutral,content-focused,3
BLACKPINK ESTA DE VUELTA,neutral,content-focused,3
This my Best song❤❤❤,neutral,content-focused,3
Aprovechando a hacer stream a JUMP pasando por mis raices ❤,neutral,content-focused,3
"las amo blackpink,su musica es genial y sus canciones son muy pegajosas y no salen de mi cabeza",neutral,content-focused,3
"“Look at me now look at you”

Yes I’m staring to your soul",neutral,visual-focused,1
miss this era….,nostalgic,content-focused,3
Let’s go for 2B,neutral,content-focused,3
"My favourite song, stream jump mv blinks ❤❤❤❤😊",neutral,content-focused,3
"For those who don't know : 
Blackpink is releasing their new single “JUMP” on the 11th of July. PLEASE MAKE SURE TO CHECK IT OUT! 
XOXO",neutral,content-focused,3
I became blink after hearing this song 😂❤,neutral,content-focused,3
Amo esta cancion,neutral,content-focused,3
Lisa  shines like a diomond,neutral,content-focused,3
My favorite song,neutral,content-focused,3
essa sempre vai ser uma das minhas favoritas,neutral,content-focused,3
OMG love it !!!,neutral,content-focused,3
2:26 the beat hits so hard!!!! 🔥🔥🔥,neutral,content-focused,3
Siempre las Mejores 🖤🩷🤗🫶🏻🤗🫶🏻,neutral,content-focused,3
I love blackpink,neutral,content-focused,3
I like how you didn’t use an excessive amount of concealer. Your taste in BlackPink is also appealing. 😍,neutral,song-reference-focused,0
Blackpink Great Show Last Night,neutral,content-focused,3
JENNIE delivers every line with confidence and precision.,neutral,content-focused,3
BLACKPINK FOREVER❤,neutral,content-focused,3
Amoooooo el kpop❤❤❤😊,neutral,content-focused,3
How you like thaaaaaaat!!!!,neutral,song-reference-focused,0
Stream stream other songs while JUMP comes out!!!,neutral,content-focused,3
"1,3 Billion+1,8 Billion:3,2 Billion ❤",neutral,content-focused,3
las blinks las amamos mucho,neutral,content-focused,3
Debemos hacer que esta hermosa y energética canción llegue a 1b!☹️😊,neutral,content-focused,3
Who’s here after JUMP?,neutral,content-focused,3
How cute my girls are 💗😭,neutral,content-focused,3
How you like that by blackpink  unnie is best song,neutral,song-reference-focused,0
2025년 7월… 시간이 흘러도 블랙핑크에 대한 사랑은 여전해요 🖤💖 나는 항상 블링크로 남을 거야 ✨💫,neutral,content-focused,3
2:10 Jennie's hair is so beautiful.This era will be unforgetablle,neutral,content-focused,3
Love from Bangladesh 🇧🇩,neutral,content-focused,3
no se si me entiendan pero dire que es la mejor cancion que eh escuchado🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎,neutral,content-focused,3
